rule_id,document_id,is_approved
rule_0,doc_0,True
rule_1,doc_1,True
rule_2,doc_2,True
rule_3,doc_3,True
rule_4,doc_4,True
rule_5,doc_5,True
rule_6,doc_6,True
rule_7,doc_7,True
rule_8,doc_8,True
rule_9,doc_9,True
rule_10,doc_10,True
rule_11,doc_11,True
rule_12,doc_12,True
rule_13,doc_13,True
rule_14,doc_14,True
rule_15,doc_15,True
rule_16,doc_16,True
rule_17,doc_17,True
rule_18,doc_18,True
rule_19,doc_19,True
rule_20,doc_20,True
rule_21,doc_21,True
rule_22,doc_22,True
rule_23,doc_23,True
rule_24,doc_24,True
rule_25,doc_25,True
rule_26,doc_26,True
rule_27,doc_27,True
rule_28,doc_28,True
rule_29,doc_29,True
rule_30,doc_30,True
rule_31,doc_31,True
rule_32,doc_32,True
rule_33,doc_33,True
rule_34,doc_34,True
rule_35,doc_35,True
rule_36,doc_36,True
rule_37,doc_37,True
rule_38,doc_38,True
rule_39,doc_39,True
rule_40,doc_40,True
rule_41,doc_41,True
rule_42,doc_42,True
rule_43,doc_43,True
rule_44,doc_44,True
rule_45,doc_45,True
rule_46,doc_46,True
rule_47,doc_47,True
rule_48,doc_48,True
rule_49,doc_49,True
rule_50,doc_50,True
rule_51,doc_51,True
rule_52,doc_52,True
rule_53,doc_53,True
rule_54,doc_54,True
rule_55,doc_55,True
rule_56,doc_56,True
rule_57,doc_57,True
rule_58,doc_58,True
rule_59,doc_59,True
rule_60,doc_60,True
rule_61,doc_61,True
rule_62,doc_62,True
rule_63,doc_63,True
rule_64,doc_64,True
rule_65,doc_65,True
rule_66,doc_66,True
rule_67,doc_67,True
rule_68,doc_68,True
rule_69,doc_69,True
rule_70,doc_70,True
rule_71,doc_71,True
rule_72,doc_72,True
rule_73,doc_73,True
rule_74,doc_74,True
rule_75,doc_75,True
rule_76,doc_76,True
rule_77,doc_77,True
rule_78,doc_78,True
rule_79,doc_79,True
rule_80,doc_80,True
rule_81,doc_81,True
rule_82,doc_82,True
rule_83,doc_83,True
rule_84,doc_84,True
rule_85,doc_85,True
rule_86,doc_86,True
rule_87,doc_87,True
rule_88,doc_88,True
rule_89,doc_89,True
rule_90,doc_90,True
rule_91,doc_91,True
rule_92,doc_92,True
rule_93,doc_93,True
rule_94,doc_94,True
rule_95,doc_95,True
rule_96,doc_96,True
rule_97,doc_97,True
rule_98,doc_98,True
rule_99,doc_99,True
rule_100,doc_100,True
rule_101,doc_101,True
rule_102,doc_102,True
rule_103,doc_103,True
rule_104,doc_104,True
rule_105,doc_105,True
rule_106,doc_106,True
rule_107,doc_107,True
rule_108,doc_108,True
rule_109,doc_109,True
rule_110,doc_110,True
rule_111,doc_111,True
rule_112,doc_112,True
rule_113,doc_113,True
rule_114,doc_114,True
rule_115,doc_115,True
rule_116,doc_116,True
rule_117,doc_117,True
rule_118,doc_118,True
rule_119,doc_119,True
rule_120,doc_120,True
rule_121,doc_121,True
rule_122,doc_122,True
rule_123,doc_123,True
rule_124,doc_124,True
rule_125,doc_125,True
rule_126,doc_126,True
rule_127,doc_127,True
rule_128,doc_128,True
rule_129,doc_129,True
rule_130,doc_130,True
rule_131,doc_131,True
rule_132,doc_132,True
rule_133,doc_133,True
rule_134,doc_134,True
rule_135,doc_135,True
rule_136,doc_136,True
rule_137,doc_137,True
rule_138,doc_138,True
rule_139,doc_139,True
rule_140,doc_140,True
rule_141,doc_141,True
rule_142,doc_142,True
rule_143,doc_143,True
rule_144,doc_144,True
rule_145,doc_145,True
rule_146,doc_146,True
rule_147,doc_147,True
rule_148,doc_148,True
rule_149,doc_149,True
